Module,Session Type,Actual Time Spent (minutes),Number of Sessions,Date
EE,Work,0,1,2024-10-15 09:16:51
EE,Work,1,1,2024-10-15 09:18:06
EE,Rest,1,1,2024-10-15 09:18:43
EE,Rest,0,1,2024-10-15 09:20:26
EE,Rest,0,1,2024-10-15 09:20:31
EE,Work,0,1,2024-10-15 09:25:49
OO,Work,1,2,2024-10-15 09:27:20
EE,Rest,1,2,2024-10-15 09:28:37
EE,Work,0,2,2024-10-15 09:28:44
EE,Work,1,1,2024-10-15 09:34:08
EE,Rest,1,2,2024-10-15 09:34:37
EE,Work,0,2,2024-10-15 09:34:48
EE,Work,1,1,2024-10-15 09:40:19
OO,Work,1,1,2024-10-15 09:41:35
OO,Rest,1,1,2024-10-15 09:42:40
OO,Work,3,2,2024-10-15 09:43:45
